;;;;;;;;;;;
Proposal number;Erasmus Code;Pic;OID;Legal Name;Street;Post Cd;City;Country Cd;Website Url;Erasmus Eche Start;Erasmus Eche End
101012444;A  BADEN01;948821603;E10054064;PAEDAGOGISCHE HOCHSCHULE NIEDERÖSTERREICH;Mühlgasse 67;2500;Baden;AT;www.ph-noe.ac.at;1/1/2021;12/31/2029
101007499;A  DORNBIR01;999660855;E10208308;FACHHOCHSCHULE VORARLBERG GMBH;HOCHSCHULSTRASSE 1;6850;DORNBIRN;AT;http://www.fhv.at ;1/1/2021;12/31/2029
101012465;A  EISENST01;879130401;E10106070;Private Pädagogische Hochschule Burgenland;Thomas-Alva-Edison Straße 1;7000;Eisenstadt;AT;www.ph-burgenland.at;1/1/2021;12/31/2029
101008771;A  EISENST02;949240934;E10080646;FACHHOCHSCHULE BURGENLAND GMBH;CAMPUS 1;7000;EISENSTADT;AT;www.fh-burgenland.at;1/1/2021;12/31/2029
101011423;A  EISENST05;949662593;E10108614;Joseph Haydn Privathochschule GmbH;Glorietteallee 2;7000;Eisenstadt;AT;www.jhp.ac.at;1/1/2021;12/31/2029
101012179;A  FELDKIR01;943641706;E10125992;Pädagogische Hochschule Vorarlberg;Liechtensteinerstr. 33 -37;6800;Feldkirch;AT;www.ph-vorarlberg.ac.at;1/1/2021;12/31/2029
101012392;A  FELDKIR03;949650565;E10107661;Stella Vorarlberg Privathochschule für Musik GmbH;Reichenfeldgasse 9;6800;Feldkirch;AT;https://stella-musikhochschule.ac.at/;1/1/2021;12/31/2029
101011621;A  GRAZ01;999873188;E10208908;UNIVERSITAET GRAZ;UNIVERSITATSPLATZ 3;8010;GRAZ;AT;http://www.uni-graz.at;1/1/2021;12/31/2029
101013773;A  GRAZ02;999977948;E10209400;TECHNISCHE UNIVERSITAET GRAZ;RECHBAUERSTRASSE 12;8010;GRAZ;AT;www.tugraz.at;1/1/2021;12/31/2029
101007988;A  GRAZ03;957574301;E10150994;UNIVERSITAT FUR MUSIK UND DARSTELLENDE KUNST GRAZ (KUG);LEONHARDSTRASSE 15;8010;GRAZ;AT;www.kug.ac.at;1/1/2021;12/31/2029
101013190;A  GRAZ04;949027437;E10067249;PADAGOGISCHE HOCHSCHULE STEIERMARK;HASNERPLATZ 12;8010;GRAZ;AT;www.phst.at;1/1/2021;12/31/2029
101011366;A  GRAZ08;888610308;E10118298;PRIVATE PADAGOGISCHE HOCHSCHULE AUGUSTINUM;LANGE GASSE 2;8010;GRAZ;AT;www.pph-augustinum.at;1/1/2021;12/31/2029
101013272;A  GRAZ09;999489456;E10207256;FH JOANNEUM GESELLSCHAFT MBH;ALTE POSTSTRASSE 149;8020;GRAZ;AT;www.fh-joanneum.at ;1/1/2021;12/31/2029
101012742;A  GRAZ10;989720004;E10180135;CAMPUS 02 FACHHOCHSCHULE DER WIRTSCHAFT GMBH;KORBLERGASSE 126;8010;GRAZ;AT;www.campus02.at;1/1/2021;12/31/2029
101011598;A  GRAZ23;999836231;E10208589;MEDIZINISCHE UNIVERSITAT GRAZ;NEUE STIFTINGTALSTRASSE 6;8010;GRAZ;AT;www.medunigraz.at;1/1/2021;12/31/2029
101014386;A  INNSBRU01;999869114;E10208876;UNIVERSITAET INNSBRUCK;INNRAIN 52;6020;INNSBRUCK;AT;http://www.uibk.ac.at;1/1/2021;12/31/2029
101012321;A  INNSBRU03;949579755;E10102599;PADAGOGISCHE HOCHSCHULE TIROL;PASTORSTRASSE 7;6020;INNSBRUCK;AT;www.ph-tirol.ac.at;1/1/2021;12/31/2029
101011540;A  INNSBRU08;998729752;E10205342;MCI MANAGEMENT CENTER INNSBRUCK INTERNATIONALE HOCHSCHULE GMBH;UNIVERSITATSSTRASSE 15;6020;INNSBRUCK;AT;www.mci.edu;1/1/2021;12/31/2029
101005002;A  INNSBRU09;949598670;E10103835;Private Pädagogische Hochschule - Hochschulstiftung der Diözese Innsbruck;Riedgasse 11;6020;Innsbruck;AT;www.kph-es.at;1/1/2021;12/31/2029
101011606;A  INNSBRU20;999898408;E10209122;UMIT TIROL - PRIVATE UNIVERSITAT FUR GESUNDHEITSWISSENSCHAFTEN UND TECHNOLOGIE GMBH;EDUARD WALLNOEFER ZENTRUM 1;6060;HALL IN TYROL;AT;;1/1/2021;12/31/2029
101014726;A  INNSBRU21;999855437;E10208754;MEDIZINISCHE UNIVERSITAT INNSBRUCK;CHRISTOPH PROBST PLATZ 1;6020;INNSBRUCK;AT;www.i-med.ac.at;1/1/2021;12/31/2029
101011652;A  INNSBRU23;952729539;E10211627;FHG - ZENTRUM FUER GESUNDHEITSBERUFE TIROL GMBH;INNRAIN 98;6020;INNSBRUCK;AT;www.fhg-tirol.ac.at;1/1/2021;12/31/2029
101014244;A  KLAGENF01;999836813;E10208594;UNIVERSITAET KLAGENFURT;UNIVERSITAETSSTRASSE 65-67;9020;KLAGENFURT;AT;www.uni-klu.ac.at;1/1/2021;12/31/2029
101012243;A  KLAGENF02;948535841;E10035612;Pädagogische Hochschule Kärnten;Hubertusstraße 1;9020;Klagenfurt;AT;www.ph-kaernten.ac.at;1/1/2021;12/31/2029
101013550;A  KLAGENF06;896190761;E10173780;Gustav Mahler Privatuniversität für Musik;Mießtaler Straße 8;9020;Klagenfurt am Wörthersee;AT;www.gmpu.ac.at;1/1/2021;12/31/2029
101012589;A  KLOSTER01;996479740;E10189052;INSTITUTE OF SCIENCE AND TECHNOLOGY AUSTRIA;Am Campus 1;3400;KLOSTERNEUBURG;AT;www.ista.ac.at;1/1/2021;12/31/2029
101011556;A  KREMS03;945624774;E10054647;IMC FACHHOCHSCHULE KREMS GMBH;PIARISTENGASSE 1;3500;KREMS;AT;www.fh-krems.ac.at;1/1/2021;12/31/2029
101011425;A  KREMS05;999865428;E10208841;UNIVERSITAT FUR WEITERBILDUNG KREMS;DR KARL DORREK STRASSE 30;3500;KREMS;AT;http://www.donau-uni.ac.at;1/1/2021;12/31/2029
101013712;A  KREMS06;938968731;E10067356;KARL LANDSTEINER PRIVATUNIVERSITAT FUR GESUNDHEITSWISSENSCHAFTEN GMBH;DR KARL DORREK STRASSE 30;3500;KREMS AN DER DONAU;AT;www.kl.ac.at;1/1/2021;12/31/2029
101048813;A  KREMS07;912885237;E10061613;DANUBE PRIVATE UNIVERSITY GMBH;STEINER LANDSTRASSE 124;3500;KREMS-STEIN;AT;www.dp-uni.ac.at;11/1/2021;12/31/2029
101012420;A  KUFSTEI01;998159392;E10200255;FACHHOCHSCHULE KUFSTEIN TIROL BILDUNGS GMBH;ANDREAS HOFER STRASSE 7;6330;KUFSTEIN;AT;www.fh-kufstein.ac.at;1/1/2021;12/31/2029
101011426;A  LEOBEN01;999898117;E10209119;MONTANUNIVERSITAET LEOBEN;FRANZ JOSEF STRASSE 18;8700;LEOBEN;AT;www.unileoben.ac.at;1/1/2021;12/31/2029
101011484;A  LINZ01;999892976;E10209080;UNIVERSITAT LINZ;ALTENBERGER STRASSE 69;4040;LINZ;AT;http://www.jku.at;1/1/2021;12/31/2029
101008437;A  LINZ02;998777282;E10205663;UNIVERSITAT FUR KUNSTLERISCHE UND INDUSTRIELLE GESTALTUNG LINZ;HAUPTPLATZ 6;4020;LINZ;AT;www.ufg.at;1/1/2021;12/31/2029
101013540;A  LINZ03;949233853;E10080085;PADAGOGISCHE HOCHSCHULE OBEROSTERREICH;KAPLANHOFSTRASSE 40;4020;LINZ;AT;www.ph-ooe.at;1/1/2021;12/31/2029
101011718;A  LINZ04;948400041;E10026665;PRIVATE PADAGOGISCHE HOCHSCHULE DER DIOZESE LINZ;SALESIANUMWEG 3;4020;LINZ;AT;www.ph-linz.at;1/1/2021;12/31/2029
101007519;A  LINZ11;998777088;E10205657;KATHOLISCHE PRIVAT - UNIVERSITAT LINZ;BETHLEHEMSTRASSE  20;4020;Linz;AT;www.ku-linz.at;1/1/2021;12/31/2029
101012057;A  LINZ17;998751577;E10205492;ANTON BRUCKNER PRIVATUNIVERSITAT;Alice-Harnoncourt-Platz 1;4040;LINZ;AT;www.bruckneruni.at;1/1/2021;12/31/2029
101011564;A  LINZ23;949504774;E10097390;FH Gesundheitsberufe OÖ GmbH;Semmelweisstrasse 34/D3;4020;Linz;AT;www.fh-gesundheitsberufe.at;1/1/2021;12/31/2029
101012581;A  SALZBUR01;999868047;E10208866;PARIS-LODRON-UNIVERSITAT SALZBURG;KAPITELGASSE 4-6;5020;SALZBURG;AT;https://www.plus.ac.at/;1/1/2021;12/31/2029
101008448;A  SALZBUR02;949452879;E10093810;UNIVERSITAT MOZARTEUM SALZBURG;MIRABELLPLATZ 1;5020;SALZBURG;AT;www.uni-mozarteum.at;1/1/2021;12/31/2029
101005437;A  SALZBUR03;894813167;E10062661;Pädagogische Hochschule Salzburg Stefan Zweig;Akademiestrasse 23;5020;Salzburg;AT;www.phsalzburg.at;1/1/2021;12/31/2029
101011631;A  SALZBUR08;994934045;E10186156;FACHHOCHSCHULE SALZBURG GMBH;URSTEIN SUED 1;5412;PUCH BEI HALLEIN;AT;www.fh-salzburg.ac.at;1/1/2021;12/31/2029
101014910;A  SALZBUR18;950035073;E10113741;PRIVATUNIVERSITAT SCHLOSS SEEBURG GMBH;SEEBURGSTRASSE 8;5201;SEEKIRCHEN AM WALLERSEE;AT;www.uni-seeburg.at;1/1/2021;12/31/2029
101011776;A  SALZBUR19;998417703;E10203046;PARACELSUS MEDIZINISCHE PRIVATUNIVERSITAT SALZBURG - PRIVATSTIFTUNG;STRUBERGASSE 21;5020;SALZBURG;AT;www.pmu.ac.at;1/1/2021;12/31/2029
101009938;A  SPITTAL01;887306531;E10200778;FH KAERNTEN - GEMEINNUETZIGE GmbH;EUROPASTRASSE 4;9524;VILLACH;AT;www.fh-kaernten.at;1/1/2021;12/31/2029
101014638;A  ST-POLT03;954490477;E10146606;FACHHOCHSCHULE ST. POLTEN GMBH;CAMPUS-PLATZ 1;3100;ST POLTEN;AT;www.fhstp.ac.at;1/1/2021;12/31/2029
101014642;A  ST-POLT10;946897705;E10137975;NEW DESIGN UNIVERSITY PRIVATUNIVERSITAT GESMBH;MARIAZELLER STRASSE 97A;3100;ST POLTEN;AT;www.ndu.ac.at;1/1/2021;12/31/2029
101098010;A  ST-POLT11;887760491;#N/A;Bertha von Suttner Privatuniversität St. Pölten GmbH;Campus-Platz 1;3100;St. Pölten;AT;https://www.suttneruni.at/;10/26/2022;12/31/2029
